"","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q43_First.Click","Q43_Last.Click","Q43_Page.Submit","Q43_Click.Count","Q60_First.Click","Q60_Last.Click","Q60_Page.Submit","Q60_Click.Count","timing_First.Click","timing_Last.Click","timing_Page.Submit","timing_Click.Count","timing_First.Click.1","timing_Last.Click.1","timing_Page.Submit.1","timing_Click.Count.1","timing_First.Click.2","timing_Last.Click.2","timing_Page.Submit.2","timing_Click.Count.2","timing_First.Click.3","timing_Last.Click.3","timing_Page.Submit.3","timing_Click.Count.3","timing_First.Click.4","timing_Last.Click.4","timing_Page.Submit.4","timing_Click.Count.4","bird_t_First.Click","bird_t_Last.Click","bird_t_Page.Submit","bird_t_Click.Count","aut_t_First.Click","aut_t_Last.Click","aut_t_Page.Submit","aut_t_Click.Count","vax2_Vax1_1","vax2_Vax1_2","vax2_Vax1_3","vax2_Vax1_4","vax2_Vax1_5","vax2_Vax1_6","vax2_Vax1_check","vax2_Vax1_33","vax2_Vax1_34","vax2_Vax1_35","vax2_Vax1_36","conseq2R_Consequ2R_1","conseq2R_Consequ2R_2","conseq2R_Consequ2R_3","conseq2R_Consequ2R_4","conseq2R_Consequ2R_5","conseq2R_Consequ2R_check","Euth2R_Euthanasia2R_1","Euth2R_Euthanasia2R_2","Euth2R_Euthanasia2R_3","Euth2R_Euthanasia2R_4","Euth2R_Euthanasia2R_5","Euth2R_Euthanasia2R_check","Abort2R_Abortion2R_1","Abort2R_Abortion2R_2","Abort2R_Abortion2R_3","Abort2R_Abortion2R_4","Abort2R_Abortion2R_5","Abort2R_Abortion2R_check","parent","num_child","oldest","youngest","hope_par","flu","flu2","flu3","flu4","delay","refuse","exemption","Attention","Any.commen","SC1","SC2","SC3","SC4","workerId","assignmentId","hitId","study_time","payment","condition"
"226","2018-03-22 09:53:48","2018-03-22 10:02:41","0","b088df4c5a6625e4","100","533","1","2018-03-22 10:02:42","R_2A146xJj65gIzgW","","","","",33.87,-118.24,"anonymous","EN","5.51","5.51","5.926","1","0","0","4.666","0","","","","","","","","","","","","","","","","","","","","","3.31","36.713","37.453","2","","","","","1","6","6","1","6","1","5","6","1","6","1","6","4","4","2","4","2","2","5","5","2","2","5","3","1","2","6","6","3","1","2","6","2","","0","1","0","0","0","0","0","1","no comments","4","22","8","16","ce8deb0f29676265","3PJ71Z61R423UFJ1QIBRDNVOHZ791G","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"227","2018-03-22 09:56:19","2018-03-22 10:02:45","0","e7c700a06590f529","100","385","1","2018-03-22 10:02:45","R_3PBU9s7oFCXf5aA","","","","",41.09,-73.43,"anonymous","EN","0","0","6.751","0","0","0","42.68","0","","","","","","","","","","","","","","","","","","","","","0","0","70.48","0","","","","","2","5","5","4","4","4","5","5","4","5","2","5","3","3","2","5","2","6","2","5","2","6","5","1","1","2","6","5","3","0","","","","3","0","0","","","","","","1","This was an interesting study. ","4","22","7","27","6982e94cb8fbaeb5","3CTOC39K37Q6BDBC1AJD3R04GQN7JA","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"228","2018-03-22 09:58:19","2018-03-22 10:02:45","0","ad04111f50ac0dca","100","265","1","2018-03-22 10:02:45","R_2TIbspcnBxe6bg8","","","","",38.91,-77.02,"anonymous","EN","0","0","7.427","0","0","0","5.303","0","","","","","","","","","","","","","","","","","","","","","","","","","4.277","11.251","32.675","3","2","5","3","2","5","2","5","5","2","5","2","3","2","3","4","3","2","4","4","4","3","5","5","1","6","1","6","6","2","0","","","","0","0","0","","","","","","1","Asking me if I plan to vaccinate my children seems to assume I have children. Might want to reword that question. I don't plan to vaccinate my children because I don't have children, not because I have a problem with vaccinations.","3","17","10","20","d702414020ff7863","3LO69W1SU3DVZWADXYZKPJQPJIBLGT","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"229","2018-03-22 10:00:16","2018-03-22 10:02:45","0","50cc1540c7c5e482","100","149","1","2018-03-22 10:02:46","R_77ZRaVFV845Eb8R","","","","",38.79,-77.29,"anonymous","EN","7.948","7.948","9.404","1","0","0","3.051","0","","","","","","","","","","","","","","","","","","","","","1.989","28.46","31.575","3","","","","","2","5","5","2","5","2","5","5","2","5","1","5","2","5","1","4","2","6","1","5","1","6","5","2","2","2","5","5","3","0","","","","0","0","0","","","","","","1","","4","25","10","29","98d82b8ff3b7494d","3T111IHZ5EQRNKIIOCQ6JED1LX3R9W","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"230","2018-03-22 09:53:54","2018-03-22 10:03:04","0","0a3047e5d9e90fe6","100","549","1","2018-03-22 10:03:05","R_3e20ze3lKyYBKI7","","","","",33.92,-118.25,"anonymous","EN","0","0","13.765","0","0","0","5.825","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","121.739","0","4","3","2","4","2","4","5","2","2","2","5","4","5","3","4","4","2","5","2","5","4","5","5","2","2","3","2","5","3","1","1","11","","","0","0","0","0","0","1","3","1","N/A","4","16","14","23","0211775dfea50071","33M4IA01QG1HOG0GRSWKZHZJS0VRXG","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"231","2018-03-22 09:59:58","2018-03-22 10:03:15","0","9709ee4ad9acda91","100","196","1","2018-03-22 10:03:16","R_11je2pY2DBzOGjE","","","","",40.29,-76.43,"anonymous","EN","0","0","6.019","0","3.094","3.094","3.413","1","0","0","9.537","0","0","0","12.641","0","5.27","5.27","5.826","1","0","0","25.664","0","0","0","8.156","0","","","","","","","","","1","6","6","1","6","1","5","6","1","6","1","5","2","2","3","3","2","1","1","6","2","1","5","6","6","6","1","1","3","0","","","","1","0","1","","","","","","1","","4","19","30","19","a397e62a731abd36","37UEWGM5HT89YFFNKZBD48VINLHR1P","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"232","2018-03-22 09:58:53","2018-03-22 10:03:23","0","74180c06fe96e238","100","269","1","2018-03-22 10:03:23","R_0HtxXC0SYX05aQF","","","","",27.94,-82.24,"anonymous","EN","0","0","12.136","0","0","0","5.23","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","39.52","0","2","6","5","1","5","1","5","6","2","6","1","4","3","3","4","2","2","6","1","6","5","1","5","1","1","2","6","6","3","1","1","47","","","1","1","0","1","0","0","0","1","none","4","16","6","21","c8949b5e07c73910","3IX2EGZR7BJGTWVRAOHJ88R4H2HJRL","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"233","2018-03-22 09:57:15","2018-03-22 10:03:29","0","b1676ab0e40ddaa4","100","374","1","2018-03-22 10:03:30","R_2wgzbKw90N5jvPr","","","","",37.14,-84.56,"anonymous","EN","0","0","8.641","0","0","0","4.279","0","","","","","","","","","","","","","","","","","","","","","1.777","6.894","67.131","3","","","","","1","5","6","2","4","1","5","6","2","5","1","1","5","3","6","1","2","6","1","6","1","6","5","1","1","1","6","6","3","0","","","","0","0","0","","","","","","1","","4","8","5","30","bf9381223c45f4ba","31UV0MXWNQCVTYDNVZJGT678C53I5U","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"234","2018-03-22 09:59:29","2018-03-22 10:03:37","0","635a08fe41055cac","100","248","1","2018-03-22 10:03:38","R_qJbhWWR8s9M3JN7","","","","",38.48,-121.64,"anonymous","EN","0","0","6.791","0","0","0","3.801","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","71.651","0","1","6","6","1","5","1","5","6","2","6","1","4","4","3","3","4","2","5","2","5","3","5","5","2","1","2","5","4","3","0","","","","0","1","1","","","","","","1","No. Thank you.","4","18","10","24","c79ce7701d5ef207","3QBD8R3Z21JNT1KQFPDB8BXGOI7O4Q","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"235","2018-03-22 09:57:45","2018-03-22 10:03:40","0","9bf8822ed968529b","100","355","1","2018-03-22 10:03:40","R_2s5vTJ7jHYJWQeC","","","","",40.23,-75.29,"anonymous","EN","1.771","1.771","115.356","1","0","0","3.046","0","","","","","","","","","","","","","","","","","","","","","60.639","60.639","60.672","1","","","","","2","5","5","2","5","3","5","5","2","4","2","4","5","2","2","2","2","2","5","4","5","2","5","4","4","4","3","3","3","1","2","12","9","","1","1","1","1","0","0","0","1","","4","15","20","12","576f0e739d041792","3II4UPYCOJ73E9GZND680KMMGWIDQ0","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"236","2018-03-22 09:57:30","2018-03-22 10:03:57","0","4d7cafdf6a8d6623","100","386","1","2018-03-22 10:03:58","R_1BWx0ojG0YoJ573","","","","",42.51,-91.14,"anonymous","EN","0","0","6.44","0","0","0","3.754","0","","","","","","","","","","","","","","","","","","","","","0","0","55.748","0","","","","","1","5","6","2","4","1","5","6","3","6","1","4","5","2","3","3","2","5","3","6","3","5","5","5","5","6","2","2","3","1","3","17","13","","0","0","1","1","0","0","0","1","none","4","15","26","24","484959553a8d4591","39O5D9O87TS12G4JP6Z136BTL4S3CN","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"237","2018-03-22 09:26:27","2018-03-22 10:04:16","0","045aa23b64ce7b4f","100","2268","1","2018-03-22 10:04:17","R_SDKdXeZSSfhIhnX","","","","",53.35,-6.24,"anonymous","EN","0","0","87.961","0","0","0","51.957","0","0","0","161.055","0","0","0","112.039","0","0.081","1.263","6.97","3","0","0","193.365","0","0","0","122.454","0","","","","","","","","","4","3","2","4","3","5","5","2","5","2","4","5","5","3","5","3","2","6","1","4","6","6","5","1","1","1","6","6","3","1","1","20","","","0","0","1","1","0","0","0","1","","4","15","5","23","18f724ede77c0247","3I02618YA064VZQ69VH8AF00XZLUPS","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"238","2018-03-22 09:59:21","2018-03-22 10:04:40","0","d826afe821e58856","100","318","1","2018-03-22 10:04:40","R_sdr7bEhOFRrjXrP","","","","",35.93,-78.72,"anonymous","EN","0","0","5.831","0","6.81","6.81","6.881","1","5.381","5.381","14.127","1","0","0","10.628","0","0","0","7.371","0","2.228","2.228","28.386","1","0","0","13.26","0","","","","","","","","","1","5","5","1","4","1","5","5","1","5","1","4","2","3","3","3","2","5","2","5","2","5","5","3","2","3","4","3","3","1","2","6","2","","1","1","1","1","0","0","0","1","","4","19","15","25","b6000d8399bb9ad3","3EO896NRAWVT9B8JEDME8NSM5NEJTY","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"239","2018-03-22 10:00:39","2018-03-22 10:05:03","0","1474d55a6357b4ad","100","263","1","2018-03-22 10:05:04","R_1P8itzbX4u2lbko","","","","",40.5,-80.08,"anonymous","EN","0","0","41.041","0","3.179","3.752","4.437","2","0","0","9.639","0","0","0","5.099","0","0","0","6.019","0","0","0","31.606","0","0","0","17.535","0","","","","","","","","","6","6","6","1","6","1","5","6","5","6","1","5","3","4","4","5","2","6","1","6","2","6","5","2","1","3","6","6","3","1","2","12","8","","0","0","0","0","1","0","0","1","","4","21","8","29","7432708578259135","3HVVDCPGTESJ403I0DNHIA7AIRNYT7","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"240","2018-03-22 09:59:42","2018-03-22 10:05:08","0","8b5541f1f0164c7b","100","325","1","2018-03-22 10:05:08","R_20VAHKh3gnCBAcs","","","","",43.77,-88.02,"anonymous","EN","0","0","7.538","0","0","0","3.357","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","143.773","0","1","6","6","2","1","1","5","6","2","5","1","5","6","2","4","5","2","5","4","6","3","2","5","6","6","6","2","1","3","1","3","11","4","","0","0","0","0","0","0","0","1","","4","16","29","20","fcaef42d850c0b10","3OONKJ5DKCJ7E05ZU4NYGP3MYAOOBW","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"241","2018-03-22 09:58:04","2018-03-22 10:05:09","0","d093696e1d86da95","100","424","1","2018-03-22 10:05:09","R_1BSejfP9DWvY41D","","","","",37.8,-79.51,"anonymous","EN","0","0","8.682","0","0","0","4.324","0","0","0","17.572","0","0","0","15.528","0","0","0","12.744","0","0","0","40.982","0","0","0","19.184","0","","","","","","","","","3","6","6","1","6","4","5","6","1","6","1","3","6","4","3","3","2","6","3","6","3","4","5","6","1","4","6","6","3","1","1","32","","","1","1","0","0","0","0","0","1","","4","15","13","24","0d1de002effd09e7","3WJ1OXY92AGZAYDRH9Y6OSTG1NZ8AI","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"242","2018-03-22 09:58:38","2018-03-22 10:05:14","0","4467df76a2cd1755","100","395","1","2018-03-22 10:05:14","R_3kdgE5VjlCA6kCP","","","","",33.5,-84.38,"anonymous","EN","0","0","7.21","0","0","0","3.845","0","","","","","","","","","","","","","","","","","","","","","65.43","65.43","66.395","1","","","","","2","5","6","2","5","2","5","6","5","6","2","5","5","5","5","4","2","4","4","4","4","4","5","3","1","3","5","3","3","1","1","10"," ","","0","0","1","1","0","0","0","1","No additional comments","4","18","13","18","5aa72ff945fbf612","3GNA64GUZE48AW1687OP28YU3FF5QF","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"243","2018-03-22 09:57:12","2018-03-22 10:05:18","0","49ce318be24377ac","100","485","1","2018-03-22 10:05:18","R_3IXgKLRXAfP6hU9","","","","",39.73,-104.98,"anonymous","EN","0","0","8.23","0","0","0","6.991","0","0","0","30.739","0","0","0","17.559","0","0","0","11.1","0","0","0","34.347","0","0","0","27.966","0","","","","","","","","","3","4","3","5","1","6","5","3","4","2","4","4","6","3","4","2","2","6","1","6","1","6","5","1","1","1","4","4","3","1","1","29","","","0","0","0","0","0","0","0","1","As far as vaccinations are concerned, I think a lot more research needs to be done on the side effects caused by the vaccinations. Seems like there is a lot more kids with Autism now. ","4","13","9","30","a0f15d5647b235dc","39PAAFCODM02068DV20XBB3G0AKVTU","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"244","2018-03-22 09:58:50","2018-03-22 10:05:25","0","523261889279e187","100","395","1","2018-03-22 10:05:25","R_2QnWwTTqGUSd4Yq","","","","",40.73,-91.96,"anonymous","EN","0","0","10.485","0","0","0","3.932","0","0","0","18.713","0","0","0","12.457","0","0","0","9.399","0","0","0","46.657","0","0","0","6.607","0","","","","","","","","","5","5","5","1","5","3","5","5","5","5","2","5","5","4","4","4","2","4","2","5","4","2","5","5","5","2","2","2","3","1","3","21","18","","0","0","1","1","0","0","0","1","","4","18","22","19","fea47289014ab96a","3D8YOU6S9EKWLT81UZIZ4F9J2V16U6","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"245","2018-03-22 10:01:32","2018-03-22 10:05:40","0","e1fdfc262e4e9429","100","247","1","2018-03-22 10:05:41","R_3hgZazeCXYgnMMh","","","","",37.06,-113.57,"anonymous","EN","107.597","107.597","108.067","1","3.929","3.929","4.163","1","","","","","","","","","","","","","","","","","","","","","","","","","1.058","40.031","40.213","3","1","4","5","2","6","1","5","6","3","6","1","4","6","3","4","5","2","4","2","6","4","5","5","5","4","5","2","3","3","0","","","","3","1","1","","","","","","1","","4","16","23","23","4e196e95123cbbb6","3GS6S824SQXHKI3YOGJHOEG2I11WN5","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"246","2018-03-22 09:57:33","2018-03-22 10:05:59","0","0c2e41fa6dbea65e","100","506","1","2018-03-22 10:06:00","R_21ctctiRNax7ooL","","","","",39.74,-74.97,"anonymous","EN","15.8","15.8","16.731","1","0","0","3.507","0","","","","","","","","","","","","","","","","","","","","","","","","","3.116","40.276","41.958","4","1","6","5","1","5","1","5","5","2","5","1","5","5","5","2","5","2","6","1","6","1","6","5","1","1","1","6","6","3","1","2","17","16","","0","0","0","0","0","0","0","1","Thank you.","4","22","5","30","1a69baf817a2d1d0","33PPO7FECVFQXBSGA51ZRIV0PM1DIX","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"247","2018-03-22 09:52:20","2018-03-22 10:06:26","0","3bdd98cfc0f9e7c5","100","846","1","2018-03-22 10:06:27","R_1GE8BIrZ0IzTZ5l","","","","",29.46,-98.44,"anonymous","EN","0","0","25.118","0","0.836","4.598","5.223","2","","","","","","","","","","","","","","","","","","","","","1.003","2.707","167.656","2","","","","","1","5","5","1","5","2","5","5","1","5","1","5","4","5","5","5","2","4","5","5","2","4","5","5","4","4","2","2","2","0","","","","2","1","1","","","","","","1","","3","20","23","20","d3a355a163af30be","3UN61F00HWP8MXG6LMDP7Y8ZZ1LR56","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"248","2018-03-22 10:00:56","2018-03-22 10:06:37","0","c87c48a3f60d98f8","100","341","1","2018-03-22 10:06:38","R_1mf77J430zWP05L","","","","",34.19,-97.16,"anonymous","EN","0","0","25.707","0","0","0","3.28","0","0","0","22.147","0","0","0","13.452","0","0","0","11.323","0","4.427","6.136","37.386","3","0","0","11.803","0","","","","","","","","","1","6","6","1","5","1","5","6","3","6","1","4","2","2","3","2","2","5","2","5","2","5","5","2","2","2","4","4","3","1","1","19","","","1","1","0","0","0","0","0","1","","4","17","12","25","c3a0354a3d1f56fe","3QECW5O0KH1L2CTYPBIK7D9HNMH5TW","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"249","2018-03-22 10:00:16","2018-03-22 10:06:40","0","b22dd184a9498f0e","100","384","1","2018-03-22 10:06:41","R_26mYMllrCYZVwqg","","","","",41.85,-87.65,"anonymous","EN","0","0","7.583","0","0","0","4.581","0","","","","","","","","","","","","","","","","","","","","","0","0","66.521","0","","","","","2","6","6","1","3","1","5","6","2","6","1","3","1","2","3","2","2","6","1","6","2","6","5","2","1","2","5","5","3","0","","","","3","0","0","","","","","","1","no","4","17","9","29","cc709df57fc35480","3XUHV3NRVKYVX323PH1VTU6TCSOH50","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"250","2018-03-22 09:57:09","2018-03-22 10:06:45","0","d7370cb8799d53c6","100","575","1","2018-03-22 10:06:45","R_3sixoLWsNYZGZEK","","","","",44.49,-69.84,"anonymous","EN","0","0","16.946","0","0","0","9.593","0","","","","","","","","","","","","","","","","","","","","","0","0","69.277","0","","","","","5","5","6","1","5","2","5","6","2","6","1","5","3","5","2","2","2","5","3","5","2","5","5","3","2","3","4","4","3","1","2","29","27","","0","1","1","1","0","0","0","1","Very interesting and informative survey, thank you!","4","21","14","24","9b4fd223edc5985c","3FFJ6VRIL1OWYRRMYTD4CBBHVXRI08","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"251","2018-03-22 09:54:31","2018-03-22 10:06:49","0","692429af27b43ea1","100","737","1","2018-03-22 10:06:49","R_28SaKpZbKpZlrG6","","","","",39.28,-76.9,"anonymous","EN","0","0","9.776","0","0","0","24.377","0","","","","","","","","","","","","","","","","","","","","","","","","","51.495","62.996","65.619","2","5","4","4","5","4","6","5","4","4","4","3","4","2","4","4","4","2","3","4","5","6","2","5","3","1","4","6","6","3","0","","","","2","1","1","","","","","","1","","4","20","10","14","59b2371184e77289","3N1FSUEFL50WP4T1PGZVXHLHK404D9","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"252","2018-03-22 10:01:04","2018-03-22 10:07:33","0","c43ce5351636ba4c","100","389","1","2018-03-22 10:07:33","R_WuPDo1F056zzYfT","","","","",42.23,-85.77,"anonymous","EN","0","0","14.982","0","0","0","3.99","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","69.238","0","6","6","6","1","5","2","5","6","2","6","1","5","4","3","2","4","2","5","3","5","2","5","5","6","6","6","1","1","3","0","","","","0","1","1","","","","","","1","","4","20","30","24","43d69b725c68416e","3IUZPWIU1O7GCCIVR3R1WMZYO6WKWO","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"253","2018-03-22 10:03:25","2018-03-22 10:08:02","0","a30b6f5556a95881","100","277","1","2018-03-22 10:08:03","R_2b0PH6yC3rvubFA","","","","",42.52,-83.16,"anonymous","EN","77.333","77.333","77.721","1","0","0","4.028","0","0.794","1.14","8.969","3","0.63","3.73","5.528","8","1.39","3.523","4.602","9","0.651","17.185","18.143","13","0.668","4.893","6.626","12","","","","","","","","","1","6","6","1","6","1","5","6","1","6","1","3","3","3","2","3","2","6","2","6","2","6","5","1","1","1","6","6","3","1","2","5","3","","0","1","1","1","0","0","0","1","","4","18","5","28","08f702d5b51b4752","3BQU611VFPKLJKMWUVQKSTD7FBU99O","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"254","2018-03-22 10:04:05","2018-03-22 10:08:16","0","1c18c7a4ba5a4f6e","100","250","1","2018-03-22 10:08:18","R_3gSNINFSarDfa2R","","","","",37.46,-105.78,"anonymous","EN","15.644","15.644","15.967","1","0","0","2.679","0","","","","","","","","","","","","","","","","","","","","","","","","","21.792","21.792","44.26","1","3","4","4","3","6","2","5","4","3","5","1","6","4","6","5","4","2","5","3","6","2","4","5","4","4","4","4","3","3","0","","","","2","0","1","","","","","","1","","4","21","19","24","192866ae3258c063","32ZKVD547FNISBCDB636SM5B3JT3BH","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"255","2018-03-22 10:00:10","2018-03-22 10:08:27","0","c979e605b338886e","100","497","1","2018-03-22 10:08:27","R_3qleMCx64zsn2FO","","","","",39.36,-77.48,"anonymous","EN","0","0","6.724","0","0","0","102.819","0","","","","","","","","","","","","","","","","","","","","","0","0","41.973","0","","","","","1","6","6","1","5","1","5","6","2","6","1","4","3","4","5","4","2","6","1","6","2","6","5","2","1","1","6","6","3","1","2","8","4","","1","1","1","1","0","0","0","1","","4","18","6","29","50d16d31a1b46851","3GFK2QRXX9HDUTXSKGNVUXGGRG15WO","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"256","2018-03-22 10:03:40","2018-03-22 10:09:16","0","42da1d6970c19af3","100","335","1","2018-03-22 10:09:17","R_2wRyVmH43deth6o","","","","",29.75,-95.41,"anonymous","EN","0","0","6.852","0","0","0","18.634","0","","","","","","","","","","","","","","","","","","","","","224.329","228.242","228.825","4","","","","","2","5","5","2","5","5","5","6","4","5","2","5","5","5","5","5","2","5","5","5","5","5","5","5","3","4","5","4","3","0","","","","3","0","0","","","","","","1","","4","19","17","19","af4ebce3d2409346","3MYYFCXHJ37Z1O3SR60332OEXWB4GE","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"257","2018-03-22 10:04:58","2018-03-22 10:09:46","0","264f0d4546246123","100","288","1","2018-03-22 10:09:47","R_1MQTRaUH72jMJ4N","","","","",42.51,-71.2,"anonymous","EN","0","0","6.085","0","0","0","3.668","0","","","","","","","","","","","","","","","","","","","","","0","0","42.309","0","","","","","5","2","2","5","2","4","5","2","5","2","3","4","4","2","5","4","2","3","5","3","5","2","5","5","5","5","3","2","3","1","1","15","","","0","0","0","0","1","1","0","1","","4","15","24","12","2db193ddf5dcbd33","3DZQRBDBSLFH9XTFMSP1IBFB77F3SI","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"258","2018-03-22 10:05:46","2018-03-22 10:09:56","0","5f925796345b56ba","100","250","1","2018-03-22 10:09:57","R_3hymHcLgVgDBuug","","","","",43.49,-116.62,"anonymous","EN","0","0","7.786","0","0","0","3.155","0","0","0","13.241","0","0","0","11.765","0","0","0","9.905","0","0","0","23.846","0","0","0","10.989","0","","","","","","","","","1","6","6","1","6","1","5","6","2","6","1","4","4","4","4","3","2","5","2","5","1","5","5","3","3","3","4","4","3","1","1","3","","","1","1","1","1","0","0","0","1","","4","17","15","26","5982f20a97ccedac","3NKQQ8O39Y5V62NG4MQDALJBJHPDU6","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"259","2018-03-22 10:05:36","2018-03-22 10:10:20","0","8899759741afee6b","100","283","1","2018-03-22 10:10:20","R_1IBs4cgTN8nedh8","","","","",33.43,-88.36,"anonymous","EN","0","0","14.958","0","0","0","2.843","0","10.196","11.148","11.185","2","9.351","10.058","11.189","3","0","0","9.699","0","0","0","27.593","0","0","0","14.457","0","","","","","","","","","1","5","6","1","5","1","5","6","2","6","1","4","4","4","5","3","2","5","2","5","2","5","5","6","6","6","1","1","3","1","1","3","","","0","0","0","0","0","0","0","1","","4","16","30","25","cd9ab9181ce4a922","3VSOLARPKB9Z4IXGDMPA1GALFJO93B","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","cdc_danger"
"260","2018-03-22 10:05:49","2018-03-22 10:10:50","0","f7da57038926069f","100","300","1","2018-03-22 10:10:50","R_1FriBolopFQZL9r","","","","",37.34,-82.96,"anonymous","EN","1.727","2.31","11.432","3","0","0","3.53","0","","","","","","","","","","","","","","","","","","","","","","","","","1.718","12.364","73.549","3","4","4","2","5","4","4","5","4","6","4","2","6","6","4","5","3","2","2","5","5","5","2","5","5","5","5","3","2","2","1","4","38","27","","0","0","0","0","0","0","0","1","none","3","16","24","13","6dcc2eac9aee0323","3S96KQ6I9M4G6P8R4H035PX903IDTF","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"261","2018-03-22 10:01:04","2018-03-22 10:11:35","0","5257a03e0577b28a","100","630","1","2018-03-22 10:11:35","R_bPpfTCZLGXhZ7XP","","","","",42.43,-71.05,"anonymous","EN","0","0","234.019","0","0","0","17.889","0","","","","","","","","","","","","","","","","","","","","","0","0","71.706","0","","","","","3","5","5","4","4","4","5","5","2","5","2","3","4","4","2","2","2","5","2","6","3","4","5","3","2","2","6","6","3","0","","","","0","0","0","","","","","","1","","4","17","9","24","915a097b5b475070","3PM8NZGV8YGHCFLGED7KURPEWETQXE","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","bird"
"262","2018-03-22 10:07:40","2018-03-22 10:11:45","0","8db70759bcaaf2f0","100","244","1","2018-03-22 10:11:46","R_3pl6GfkXqyvdg1y","","","","",39.67,-104.93,"anonymous","EN","0","0","36.474","0","0","0","4.37","0","","","","","","","","","","","","","","","","","","","","","","","","","0","0","27.547","0","3","6","6","2","6","1","5","6","5","6","1","4","5","6","5","1","2","3","4","3","4","6","5","2","1","1","6","6","3","0","","","","0","0","1","","","","","","1","","4","15","6","18","eb0ae6ff2bfb43c1","3BDCF01OGXUVLNVDR4LQWJXTOE2LYS","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
"263","2018-03-22 10:06:35","2018-03-22 10:12:00","0","636601c4a29c25d5","100","325","1","2018-03-22 10:12:00","R_d1lz8YNuNFeUKL7","","","","",28.05,-82.45,"anonymous","EN","0","0","13.56","0","0","0","3.878","0","","","","","","","","","","","","","","","","","","","","","","","","","8.23","50.696","52.855","5","3","4","4","3","2","4","5","4","5","4","3","4","3","3","2","4","2","6","1","6","2","6","5","2","2","2","5","5","3","1","2","19","17","","0","0","0","0","1","0","0","1","Thank you","4","20","10","29","239628dcdb584a66","33FOTY3KEML5SDQ422LIFDWWNKFC15","3DGDV62G7O9SP3JA0920GCALCN62P0","8","$1.10","autism"
